sector,sector_code,sector_label,month,issued
Q - Health & Social Work Activities,Q,Health & Social Work Activities,January,1040
J - Information & Communication Activities,J,Information & Communication Activities,January,451
I - Accommodation & Food Services Activities,I,Accommodation & Food Services Activities,January,557
S - Other Service Activities,S,Other Service Activities,January,259
F - Construction,F,Construction,January,259
"A - Agriculture, Forestry & Fishing",A,"Agriculture, Forestry & Fishing",January,203
K - Financial & Insurance Activities,K,Financial & Insurance Activities,January,153
H - Transport & Storage,H,Transport & Storage,January,131
C - All Other Manufacturing,C,All Other Manufacturing,January,185
"M - Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",M,"Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",January,63
"M - All other Professional, Scientific & Technical Activities",M,"All other Professional, Scientific & Technical Activities",January,88
G - Wholesale & Retail Trade,G,Wholesale & Retail Trade,January,68
C - Manufacture of Chemicals & Pharmaceuticals,C,Manufacture of Chemicals & Pharmaceuticals,January,58
"R - Arts, Entertainment and Recreation",R,"Arts, Entertainment and Recreation",January,40
"C - Manufacture of Food, Drink & Tobacco",C,"Manufacture of Food, Drink & Tobacco",January,37
P - Education,P,Education,January,50
"C - Manufacture of Computers, Electronics & Optical Equipment",C,"Manufacture of Computers, Electronics & Optical Equipment",January,32
D - Electricity & Gas & Air Conditioning Supply,D,Electricity & Gas & Air Conditioning Supply,January,55
C - Manufacture of Medical Devices,C,Manufacture of Medical Devices,January,35
No Sector Entered ,,No Sector Entered ,January,0
B - Mining & Quarrying,B,Mining & Quarrying,January,9
N - Administrative & Support Service Activities,N,Administrative & Support Service Activities,January,12
E - Water Supply - Sewerage Waste Management & Remedial Activities,E,Water Supply - Sewerage Waste Management & Remedial Activities,January,2
O - Public Administration & Defence,O,Public Administration & Defence,January,9
L - Real Estate Activities,L,Real Estate Activities,January,2
T - Domestic - Activities of Households as Employers,T,Domestic - Activities of Households as Employers,January,0
Q - Health & Social Work Activities,Q,Health & Social Work Activities,February,781
J - Information & Communication Activities,J,Information & Communication Activities,February,343
I - Accommodation & Food Services Activities,I,Accommodation & Food Services Activities,February,389
S - Other Service Activities,S,Other Service Activities,February,195
F - Construction,F,Construction,February,157
