county,issued,refused,applications,refusal_rate
Dublin,14627,1395,16022,0.0871
Cork,2973,322,3295,0.0977
Limerick,1543,197,1740,0.1132
Meath,1252,189,1441,0.1312
Kildare,1194,202,1396,0.1447
Galway,1104,121,1225,0.0988
Wexford,762,55,817,0.0673
Waterford,695,67,762,0.0879
Tipperary,650,66,716,0.0922
Kilkenny,580,55,635,0.0866
Clare,538,87,625,0.1392
Kerry,527,61,588,0.1037
Louth,511,54,565,0.0956
Cavan,501,56,557,0.1005
Donegal,488,75,563,0.1332
Westmeath,457,68,525,0.1295
Monaghan,449,46,495,0.0929
Wicklow,390,49,439,0.1116
Mayo,383,45,428,0.1051
Offaly,358,40,398,0.1005
Laois,229,48,277,0.1733
Sligo,218,52,270,0.1926
Roscommon,188,28,216,0.1296
Carlow,181,24,205,0.1171
Longford,147,18,165,0.1091
Leitrim,99,11,110,0.1
Antrim,0,1,1,1.0
